Team,Record,ELO,Rank,ELO Delta
Charlotte,16-17,1339.26,165,38
Middle Tennessee,14-15,1337.62,166,-22
Fairfield,20-13,1335.46,167,2
Austin Peay,20-9,1335.14,168,2
UTRGV,17-14,1332.87,169,5
Vermont,20-12,1330.02,170,-3
Notre Dame,13-18,1327.95,171,2
Idaho,18-14,1324.6,172,40
William & Mary,18-12,1324.18,173,5
Southeast Missouri,17-13,1322.84,174,5
Memphis,13-19,1322.14,175,-17
Howard,19-10,1321.61,176,19
Morehead State,17-13,1320.24,177,3
Fordham,14-15,1320.13,178,-15
Western Kentucky,16-14,1319.47,179,-19
Northern Colorado,17-12,1317.65,180,-27
Saint Bonaventure,16-17,1317.43,181,34
Utah Tech,16-15,1315.06,182,-1
Marshall,18-13,1313.26,183,NA
Penn State,12-20,1312.41,184,-13
Pacific,16-15,1310.62,185,NA
Northern Kentucky,17-14,1308.48,186,-14
Marist,18-12,1307.56,187,-1
Campbell,14-18,1306.45,188,-13
Drexel,16-16,1306.32,189,-2
UC Davis,17-14,1304.83,190,NA
Appalachian State,17-13,1304.09,191,-3
Boston College,11-20,1303.72,192,-3
New Mexico State,13-16,1300.08,193,3
Green Bay,16-15,1299.47,194,-2
Drake,12-20,1299.35,195,-2
Saint Peter's,16-12,1297.78,196,-2
Rhode Island,16-16,1291.92,197,-13
Western Carolina,13-16,1291.4,198,NA
Lehigh,16-16,1288.17,199,21
UTA,16-14,1286.67,200,4
Portland State,17-11,1286.37,201,-19
Mercer,16-13,1285.19,202,-1
Montana,15-15,1283.95,203,28
Utah,10-22,1281.91,204,-5
Lipscomb,17-13,1279.08,205,2
Texas A&M-Corpus Christi,14-15,1278.65,206,10
Mount Saint Mary's,14-17,1278.24,207,3
UC Santa Barbara,16-14,1278.1,208,-17
Cal Poly,12-19,1277.57,209,-12
North Dakota,15-17,1276.28,210,1
Oakland,15-16,1272.64,211,2
Quinnipiac,18-13,1271.58,212,2
Temple,15-16,1269.68,213,-13
Wofford,17-13,1266.1,214,3
Loyola-Chicago,9-24,1265.63,215,7
UMass,16-16,1264.62,216,24
Purdue Fort Wayne,14-15,1263.27,217,2
Eastern Washington,13-19,1260.32,218,NA
Portland,13-19,1259.05,219,2
Bowling Green,15-14,1258.15,220,-12
East Carolina,10-20,1256.25,221,3
Iona,18-14,1255.99,222,3
Georgia Tech,11-20,1255.94,223,3
Montana State,15-14,1255.51,224,3
Jacksonville State,12-17,1255.26,225,-19
Omaha,12-17,1254.27,226,2
Missouri State,13-18,1254.2,227,31
Boston University,16-17,1252.09,228,-19
UNCG,13-19,1251.87,229,1
Bethune-Cookman,16-15,1249.8,230,-28
FIU,12-17,1249.34,231,-26
Fresno State,12-19,1247.64,232,-9
Rice,11-18,1246,233,NA
UNC Asheville,12-17,1245.06,234,NA
Loyola-Marymount,14-17,1243.8,235,NA
Ohio,13-17,1242.53,236,-7
Tennessee-Martin,19-11,1242.05,237,NA
Stony Brook,15-15,1241.37,238,NA
Washington State,11-20,1241.17,239,NA
Prairie View A&M,14-17,1239.68,240,58
Sacred Heart,13-19,1232.86,241,NA
Youngstown State,12-17,1228.31,242,1
New Orleans,15-18,1224.16,243,-11
Central Connecticut,16-12,1224.14,244,1
Columbia,14-12,1223.51,245,1
SIUE,16-13,1222.88,246,1
FGCU,14-18,1222.25,247,1
Southern,14-17,1221.56,248,7
Richmond,14-17,1218.49,249,-13
UTEP,8-20,1213.69,250,NA
Colgate,16-15,1209.35,251,1
Radford,13-16,1208.98,252,1
Weber State,14-16,1207.03,253,-11
Florida A&M,13-16,1206.72,254,-3
La Salle,8-23,1202.87,255,-11
Buffalo,15-15,1202.82,256,-2
South Dakota,13-16,1202.77,257,-1
San Jose State,8-24,1201.62,258,25
Nicholls,13-19,1201.3,259,-10
Louisiana,11-22,1199.96,260,-3
Ball State,10-19,1198.07,261,-2
Delaware,10-20,1197.97,262,-2
Milwaukee,11-20,1197.4,263,-2
Denver,12-17,1196.25,264,-2
Old Dominion,11-21,1194.13,265,-2
Indiana State,9-21,1193.28,266,-2
Princeton,8-20,1192.27,267,-2
Longwood,13-16,1189.67,268,-2
Chattanooga,10-19,1185.36,269,NA
Hampton,11-19,1183.59,270,NA
Abilene Christian,11-19,1180.9,271,6
Presbyterian College,12-18,1177.81,272,NA
South Dakota State,11-18,1176.15,273,NA
UMass-Lowell,12-18,1175.02,274,-7
Dartmouth,9-16,1174.8,275,-1
Elon,12-18,1174.15,276,NA
Lindenwood,15-15,1170.85,277,1
Charleston Southern,12-17,1167.16,278,2
San Diego,10-21,1165.78,279,3
Mercyhurst,15-17,1165.39,280,-9
Cleveland State,8-22,1160.84,281,4
UC Riverside,8-22,1160.36,282,4
Bellarmine,11-19,1158.73,283,4
Alabama A&M,15-15,1158.33,284,4
NJIT,15-17,1155.93,285,-6
American,14-16,1154.46,286,3
West Georgia,13-17,1152.54,287,3
Brown,7-18,1152.2,288,3
Wagner,11-17,1152.19,289,3
Pepperdine,7-23,1149.77,290,3
Evansville,5-25,1146.79,291,3
Morgan State,11-16,1146.23,292,-24
Norfolk State,11-17,1142.82,293,-18
Central Michigan,8-21,1142.5,294,2
Tarleton State,10-18,1142.32,295,-14
Jackson State,12-21,1138.37,296,1
Texas Southern,10-18,1136.61,297,-13
Long Beach State,8-22,1131.87,298,1
Tennessee Tech,10-18,1131.67,299,1
Southern Utah,7-22,1129.83,300,-5
Western Michigan,9-20,1125.14,301,NA
Houston Christian,10-20,1121.83,302,NA
Manhattan,11-20,1120.71,303,NA
The Citadel,8-22,1120.56,304,NA
Eastern Kentucky,9-21,1118.12,305,NA
Stetson,10-21,1117.75,306,NA
Jacksonville,10-20,1114.88,307,NA
Eastern Illinois,10-20,1109.88,308,NA
Northwestern State,8-22,1109.67,309,NA
Georgia State,8-22,1106.98,310,NA
Little Rock,10-20,1105.67,311,NA
North Carolina A&T,9-19,1104.35,312,NA
Incarnate Word,9-19,1104.13,313,NA
Lafayette,10-21,1100.7,314,NA
Loyola-Maryland,10-20,1099.36,315,NA
North Carolina Central,10-18,1099.26,316,8
Idaho State,10-20,1096.88,317,-1
New Haven,11-17,1096.22,318,NA
South Carolina State,8-22,1095.75,319,7
Eastern Michigan,9-21,1093.56,320,-1
Southeastern Louisiana,8-22,1090.73,321,-1
Le Moyne,14-17,1086.47,322,-1
South Carolina Upstate,10-19,1081.24,323,-1
Arkansas-Pine Bluff,11-19,1079.42,324,-7
North Alabama,7-21,1077.45,325,-2
Northeastern,7-24,1077.19,326,-1
Bucknell,10-23,1076.15,327,NA
Albany,8-21,1075.57,328,NA
Lamar,10-19,1074.78,329,NA
Northern Illinois,7-21,1073.11,330,1
