contestId,bracketPositionId,victorBracketPositionId,victorGamePosition,startDate,isWinner,isTop,seed,nameShort,elo_name
6534698,303,402,Top,2026-03-23,FALSE,FALSE,3,Ohio St.,Ohio State
6534699,304,402,Bottom,2026-03-23,NA,NA,NA,NA,NA
6534700,305,403,Top,2026-03-23,FALSE,TRUE,1,South Carolina,South Carolina
6534701,306,403,Bottom,2026-03-22,FALSE,TRUE,5,Michigan St.,Michigan State
6534701,306,403,Bottom,2026-03-22,FALSE,FALSE,4,Oklahoma,Oklahoma
6534702,307,404,Top,2026-03-22,FALSE,TRUE,6,Washington,Washington
6534702,307,404,Top,2026-03-22,FALSE,FALSE,3,TCU,TCU
6534703,308,404,Bottom,2026-03-23,FALSE,TRUE,10,Virginia,Virginia
6534704,309,405,Top,2026-03-23,NA,NA,NA,NA,NA
6534705,310,405,Bottom,2026-03-22,FALSE,TRUE,5,Ole Miss,Ole Miss
6534705,310,405,Bottom,2026-03-22,FALSE,FALSE,4,Minnesota,Minnesota
6534706,311,406,Top,2026-03-22,FALSE,TRUE,6,Baylor,Baylor
6534706,311,406,Top,2026-03-22,FALSE,FALSE,3,Duke,Duke
6534707,312,406,Bottom,2026-03-22,FALSE,TRUE,7,Texas Tech,Texas Tech
6534707,312,406,Bottom,2026-03-22,FALSE,FALSE,2,LSU,LSU
6534708,313,407,Top,2026-03-22,FALSE,TRUE,1,Texas,Texas
6534708,313,407,Top,2026-03-22,FALSE,FALSE,8,Oregon,Oregon
6534709,314,407,Bottom,2026-03-23,NA,NA,NA,NA,NA
6534710,315,408,Top,2026-03-23,FALSE,FALSE,3,Louisville,Louisville
6534711,316,408,Bottom,2026-03-22,FALSE,TRUE,7,NC State,North Carolina State
6534711,316,408,Bottom,2026-03-22,FALSE,FALSE,2,Michigan,Michigan
6534712,401,501,Top,2026-03-27,NA,NA,NA,NA,NA
6534713,402,501,Bottom,2026-03-27,NA,NA,NA,NA,NA
6534714,403,502,Top,2026-03-28,NA,NA,NA,NA,NA
6534715,404,502,Bottom,2026-03-28,NA,NA,NA,NA,NA
6534716,405,503,Top,2026-03-27,NA,NA,NA,NA,NA
6534717,406,503,Bottom,2026-03-27,NA,NA,NA,NA,NA
6534718,407,504,Top,2026-03-28,NA,NA,NA,NA,NA
6534719,408,504,Bottom,2026-03-28,NA,NA,NA,NA,NA
6534720,501,601,Top,2026-03-29,NA,NA,NA,NA,NA
6534721,502,601,Bottom,2026-03-30,NA,NA,NA,NA,NA
6534722,503,602,Top,2026-03-29,NA,NA,NA,NA,NA
6534723,504,602,Bottom,2026-03-30,NA,NA,NA,NA,NA
6534724,601,701,Top,2026-04-03,NA,NA,NA,NA,NA
6534725,602,701,Bottom,2026-04-03,NA,NA,NA,NA,NA
6534726,701,NA,NA,2026-04-05,NA,NA,NA,NA,NA
