Team,Record,ELO,Rank,ELO Delta
Wisconsin,13-17,1397.72,164,5
Air Force,15-18,1395.29,165,23
Monmouth,17-11,1395.21,166,-13
Cincinnati,10-20,1394.91,167,4
Kent State,13-16,1394.74,168,-8
Norfolk State,14-14,1393.02,169,13
Chattanooga,18-10,1391.64,170,2
Idaho State,18-11,1389.61,171,-21
Bowling Green,13-14,1389.21,172,-5
ULM,16-16,1388.98,173,1
Austin Peay,17-13,1388.94,174,-10
NJIT,18-12,1387.81,175,NA
Middle Tennessee,16-15,1386.58,176,-17
Binghamton,17-12,1384.89,177,-11
Loyola-Chicago,14-17,1384.59,178,NA
Iona,19-12,1383.05,179,1
Stony Brook,15-15,1381.56,180,12
William & Mary,16-14,1380.42,181,2
UC Santa Barbara,19-10,1379.18,182,-28
North Alabama,15-14,1378.24,183,-2
Sam Houston State,15-12,1376.33,184,-14
Grand Canyon,13-19,1375.91,185,-1
Northwestern State,16-14,1374.79,186,-7
Longwood,18-10,1373.33,187,-2
Georgetown,14-17,1373.08,188,-2
South Alabama,16-18,1371.69,189,-2
George Washington,14-17,1368.48,190,NA
Morehead State,17-14,1363.83,191,3
Wofford,13-13,1361.91,192,4
Furman,14-13,1361.26,193,4
Cal State Fullerton,16-14,1360.77,194,-1
Florida State,10-21,1360.16,195,3
Butler,12-19,1355.06,196,4
Towson,16-14,1354.4,197,-24
Utah Valley,14-14,1352,198,-21
Southern Utah,16-12,1350.86,199,-23
Arizona,12-18,1348.39,200,2
Maryland Eastern Shore,17-14,1347.7,201,-6
Elon,15-16,1345.93,202,-1
Northern Kentucky,15-17,1343.39,203,NA
Arkansas,12-20,1342.89,204,NA
Long Island,19-11,1341.46,205,19
Saint Thomas,13-16,1341.25,206,-1
Hofstra,10-22,1340.76,207,62
Charlotte,14-18,1339.95,208,-17
Bryant,16-12,1336.9,209,-2
FAU,13-18,1336.18,210,3
Southeast Missouri,12-18,1335.37,211,-3
UCF,11-19,1333.18,212,-3
Jacksonville State,13-16,1331.59,213,1
Alabama State,15-14,1331.3,214,14
Robert Morris,16-12,1330.25,215,-5
Mercer,15-13,1326.61,216,-1
Coastal Carolina,12-18,1325.65,217,-1
Wake Forest,14-17,1324.9,218,-1
Saint Bonaventure,15-15,1323.65,219,-1
IU Indianapolis,12-17,1319.44,220,-1
West Georgia,16-13,1317.99,221,-1
Mercyhurst,15-16,1317.5,222,-11
Sacramento State,13-18,1317.11,223,10
Oral Roberts,12-15,1315.72,224,-3
Fresno State,14-18,1315.14,225,-3
Southern Miss,13-16,1309.23,226,NA
Duquesne,10-19,1307.99,227,NA
Little Rock,13-16,1305.57,228,1
Drake,12-20,1304.69,229,-6
SIUE,13-16,1303.9,230,NA
Mount Saint Mary's,15-15,1303.2,231,NA
Tennessee Tech,13-14,1302.02,232,NA
Alcorn State,14-13,1299.7,233,-21
Eastern Washington,13-18,1292.71,234,19
